1987	72	9160	-9.6	3.7	0.34	2.2	0	1.71	2.01	nan	nan
1987	73	12170	-6	5.7	0.32	1.9	0	nan	nan	nan	nan
1987	74	12170	-6	5.7	0.32	1.9	0	nan	nan	nan	nan
1987	75	7450	-0.6	4.9	0.52	4	0.7	nan	nan	nan	nan
1987	76	1920	0.3	6.5	0.79	4.5	10.4	nan	nan	nan	nan
1987	77	8930	0.2	6.9	0.66	5.5	11.3	nan	nan	nan	nan
1987	78	8020	-1	5.6	0.56	2.5	0	nan	nan	nan	nan
1987	79	6980	-1.4	5.3	0.57	3.5	1.4	nan	nan	nan	nan
1987	80	6720	-0.9	5.5	0.63	3.5	7.5	nan	nan	nan	nan
1987	81	12970	0.2	8.7	0.65	3	6.4	nan	nan	nan	nan
1987	82	12970	0.2	8.7	0.65	3	6.4	nan	nan	nan	nan
1987	83	2990	6.9	10.8	1.07	2.5	0.5	nan	nan	nan	nan
1987	84	2990	6.9	10.8	1.07	2.5	0.5	nan	nan	nan	nan
1987	85	3060	6.5	13.5	1.13	3.5	8.5	nan	nan	nan	nan
1987	86	3280	7.7	12.5	0.79	9.5	1.2	nan	nan	2.2	nan
1987	87	8970	2.3	10.4	0.72	8.7	2.7	nan	nan	nan	nan
1987	88	10500	-0.5	7	0.59	3.9	0.9	nan	nan	nan	nan
1987	89	4010	-0.3	6.1	0.34	6.3	0.6	nan	nan	nan	nan
1987	90	8380	0.9	9.3	0.7	1.8	0	nan	nan	nan	nan
1987	91	17090	1.6	11.1	0.58	2.6	0	nan	nan	nan	nan
1987	92	16010	3.5	11.7	0.64	3.5	0	nan	nan	nan	nan
1987	93	9680	4.2	13.5	0.53	2.8	0	nan	nan	nan	nan
1987	94	7120	7.1	12.5	0.82	3.7	0	nan	nan	nan	nan
1987	95	14390	3.9	14.1	0.79	2.7	0	nan	nan	nan	nan
1987	96	9400	5.5	15.6	0.91	1.5	4.6	nan	nan	nan	nan
1987	97	8810	5	16.9	1	3.1	1.5	nan	nan	nan	nan
1987	98	10470	5.4	14.5	0.98	3.3	1.2	nan	nan	nan	nan
